"","race","classtype","yearssmall","hsgrad","g4math","g4reading"
"164",1,3,0,1,NA,NA
"165",2,3,0,NA,NA,NA
"166",1,1,3,0,NA,NA
"167",1,1,1,NA,NA,NA
"168",1,1,4,1,680,528
"169",1,1,4,0,666,675
"170",1,3,0,0,NA,NA
"171",1,2,0,NA,NA,NA
"172",2,1,1,NA,NA,NA
"173",1,3,0,NA,NA,NA
"174",2,2,0,NA,NA,NA
"175",2,2,0,NA,NA,NA
"176",2,1,4,0,NA,NA
"177",2,2,0,1,NA,NA
"178",1,3,0,1,647,NA
"179",1,1,4,NA,NA,NA
"180",2,2,0,NA,NA,NA
"181",1,1,2,NA,NA,NA
"182",2,3,0,NA,NA,NA
"183",1,2,0,NA,NA,NA
"184",1,2,2,NA,NA,NA
"185",1,2,0,NA,NA,NA
"186",1,1,2,NA,NA,NA
"187",1,3,0,1,595,653
"188",1,1,2,1,NA,NA
"189",2,3,0,NA,NA,NA
"190",2,1,1,1,NA,NA
"191",1,3,0,NA,NA,NA
"192",2,2,0,NA,NA,NA
"193",2,3,0,NA,NA,NA
"194",2,2,0,NA,618,659
"195",1,1,1,NA,NA,NA
"196",1,1,4,1,678,650
"197",2,2,0,NA,NA,NA
"198",1,2,0,1,NA,NA
"199",1,1,1,NA,NA,NA
"200",2,1,1,NA,NA,NA
"201",2,2,1,1,NA,NA
"202",2,1,3,1,706,684
"203",2,2,0,NA,NA,NA
"204",2,1,2,NA,NA,NA
"205",1,2,0,1,NA,NA
"206",2,1,4,NA,NA,NA
"207",2,1,4,NA,NA,NA
"208",2,1,2,1,NA,NA
"209",2,3,0,0,NA,NA
"210",2,3,3,1,NA,NA
"211",2,1,2,NA,705,689
"212",2,3,0,NA,NA,NA
"213",2,2,0,0,NA,NA
"214",2,3,0,0,NA,NA
"215",2,3,0,1,NA,NA
"216",2,3,0,1,NA,NA
"217",2,3,0,NA,726,698
"218",2,3,1,NA,NA,NA
"219",2,3,2,NA,725,756
"220",2,1,4,0,680,723
"221",2,3,0,1,NA,NA
"222",2,1,1,1,NA,NA
"223",2,2,0,NA,NA,NA
"224",2,2,0,1,NA,NA
"225",2,1,4,0,NA,NA
"226",2,3,0,0,NA,NA
"227",2,2,0,NA,NA,NA
"228",1,2,0,0,NA,NA
"229",2,1,2,0,NA,NA
"230",2,2,0,1,758,729
"231",2,2,0,NA,NA,NA
"232",2,1,3,1,NA,NA
"233",2,3,0,0,NA,NA
"234",2,3,0,NA,NA,NA
"235",2,1,1,NA,NA,NA
"236",2,3,0,NA,NA,NA
"237",2,2,1,NA,NA,NA
"238",2,1,3,NA,689,768
"239",2,2,0,NA,NA,NA
"240",2,1,4,NA,NA,NA
"241",2,2,1,0,NA,NA
"242",2,1,2,1,719,721
"243",2,3,0,1,NA,NA
"244",2,2,0,1,NA,NA
"245",2,3,0,0,NA,NA
"246",2,1,4,NA,NA,NA
"247",2,1,4,NA,694,671
"248",2,3,0,NA,NA,NA
"249",2,2,0,1,NA,NA
"250",2,2,0,NA,NA,NA
"251",2,1,1,0,NA,NA
"252",2,3,1,1,758,782
"253",1,2,0,0,NA,NA
"254",1,2,0,NA,NA,NA
"255",1,3,0,NA,NA,NA
"256",2,3,0,NA,NA,NA
"257",2,2,0,1,727,715
"258",1,3,0,NA,NA,NA
"259",2,3,0,0,NA,NA
"260",2,2,0,NA,NA,NA
"261",2,3,0,NA,NA,NA
"262",1,1,2,NA,NA,NA
"263",2,1,1,NA,NA,NA
"264",2,2,0,NA,NA,NA
"265",2,3,0,1,NA,NA
"266",2,3,0,NA,NA,NA
"267",2,2,0,NA,NA,NA
"268",1,1,4,NA,NA,NA
"269",2,1,4,0,NA,NA
"270",2,2,0,NA,NA,NA
"271",2,1,1,0,NA,NA
"272",2,3,0,NA,NA,NA
"273",2,1,1,NA,NA,NA
"274",2,3,0,1,NA,NA
"275",2,3,0,0,NA,NA
"276",2,2,0,1,NA,NA
"277",2,3,0,NA,NA,NA
"278",2,3,0,NA,NA,NA
"279",1,1,1,1,NA,NA
"280",1,3,0,NA,NA,NA
"281",2,2,0,1,NA,NA
"282",2,1,1,NA,NA,NA
"283",2,3,0,NA,NA,NA
"284",1,3,0,NA,NA,NA
"285",2,2,0,NA,NA,NA
"286",2,3,0,1,694,709
"287",2,2,0,NA,NA,NA
"288",2,3,0,NA,NA,NA
"289",2,2,0,0,NA,NA
"290",2,1,4,1,NA,NA
"291",2,2,0,NA,NA,NA
"292",1,2,0,NA,NA,NA
"293",2,2,2,1,744,724
"294",1,1,1,1,NA,NA
"295",2,1,4,NA,NA,NA
"296",2,1,4,NA,NA,NA
"297",2,1,3,NA,NA,NA
"298",1,2,0,1,676,721
"299",1,2,0,1,NA,NA
"300",1,3,0,NA,NA,NA
"301",2,2,0,NA,NA,NA
"302",2,3,0,NA,NA,NA
"303",2,1,1,1,NA,NA
"304",1,2,2,1,662,528
"305",2,3,0,1,NA,NA
"306",2,2,0,1,740,701
"307",2,1,1,1,NA,NA
"308",2,1,4,NA,670,724
"309",2,3,0,1,773,738
"310",2,2,0,1,NA,NA
"311",2,2,0,1,NA,NA
"312",1,1,4,NA,636,710
"313",1,3,0,1,NA,NA
"314",2,1,2,NA,NA,NA
"315",1,1,2,NA,NA,NA
"316",2,1,1,1,NA,NA
"317",1,1,4,1,653,548
"318",1,1,2,NA,NA,NA
"319",1,2,0,NA,666,591
"320",1,2,0,NA,646,695
"321",2,2,0,NA,NA,NA
"322",1,3,0,0,NA,NA
"323",1,1,1,NA,NA,NA
"324",1,2,0,NA,712,682
"325",1,2,2,NA,NA,NA
"326",1,2,0,1,533,650
"327",2,1,4,1,654,605
"328",1,1,2,1,NA,NA
"329",1,3,0,NA,NA,NA
"330",1,1,1,NA,NA,NA
"331",1,2,0,1,702,741
"332",1,1,2,NA,NA,NA
"333",1,1,1,NA,NA,NA
"334",1,2,0,NA,NA,NA
"335",1,2,0,NA,NA,NA
"336",2,2,0,1,713,712
"337",1,2,0,NA,NA,NA
"338",1,1,4,1,647,701
"339",1,1,4,1,740,763
"340",2,2,0,NA,NA,NA
"341",1,2,0,0,NA,NA
"342",1,3,0,1,705,753
"343",1,2,0,NA,684,664
"344",1,1,2,NA,NA,NA
"345",1,2,0,0,NA,NA
"346",1,1,1,1,758,794
"347",2,3,0,1,NA,NA
"348",1,2,0,NA,NA,NA
"349",1,1,4,1,724,713
"350",1,3,2,NA,686,698
"351",1,1,4,1,531,528
"352",1,1,1,NA,NA,NA
"353",1,2,0,1,NA,NA
"354",1,1,4,1,705,726
"355",1,3,0,NA,NA,NA
"356",1,3,0,1,720,836
"357",1,1,4,NA,NA,NA
"358",1,1,4,1,643,528
"359",2,3,0,NA,NA,NA
"360",1,3,0,NA,NA,NA
"361",1,1,2,NA,NA,NA
"362",1,2,0,1,NA,NA
"363",1,2,0,NA,NA,NA
"364",1,3,0,NA,NA,NA
"365",1,1,1,NA,NA,NA
"366",2,3,0,NA,NA,NA
"367",2,3,0,0,NA,NA
"368",1,3,0,NA,NA,NA
"369",1,1,4,NA,NA,NA
"370",1,3,0,NA,NA,NA
"371",1,2,0,NA,NA,NA
"372",2,2,0,1,NA,NA
"373",1,2,0,NA,NA,NA
"374",1,3,1,NA,654,653
"375",1,1,2,0,NA,NA
"376",1,3,0,1,NA,NA
"377",1,3,0,NA,NA,NA
"378",1,3,0,1,697,698
"379",1,3,0,NA,641,705
"380",1,2,0,NA,744,679
"381",2,2,0,NA,NA,NA
"382",1,1,2,NA,NA,NA
"383",1,2,0,1,NA,NA
"384",1,3,0,0,NA,NA
"385",1,1,1,0,NA,NA
"386",2,1,1,NA,NA,NA
"387",1,1,3,NA,NA,NA
"388",1,1,4,1,662,697
"389",1,3,3,NA,740,685
"390",1,1,4,1,686,705
"391",2,2,0,0,NA,NA
"392",1,2,0,1,821,784
"393",1,2,0,1,683,733
"394",1,3,0,NA,702,720
"395",2,2,0,NA,NA,NA
"396",1,2,0,1,NA,NA
"397",2,1,1,NA,NA,NA
"398",1,1,4,NA,NA,NA
"399",1,3,3,1,NA,NA
"400",1,2,0,1,821,767
"401",1,2,0,NA,NA,NA
"402",1,2,0,NA,NA,NA
"403",1,1,4,1,729,763
"404",2,1,2,NA,NA,NA
"405",1,1,4,1,741,740
"406",1,2,0,0,NA,NA
"407",1,2,0,1,758,726
"408",1,1,4,0,640,620
"409",1,1,1,NA,NA,NA
"410",1,1,1,NA,NA,NA
"411",2,3,1,NA,NA,NA
"412",2,1,4,NA,678,528
"413",1,2,0,NA,689,648
"414",1,1,3,NA,NA,NA
"415",1,2,0,NA,NA,NA
"416",1,3,0,NA,NA,NA
"417",2,2,0,NA,NA,NA
"418",1,3,0,0,706,718
"419",1,2,2,0,708,712
"420",1,1,4,1,744,836
"421",1,2,0,NA,NA,NA
"422",1,3,0,1,NA,NA
"423",1,1,4,1,697,764
"424",1,1,1,NA,NA,NA
"425",1,3,2,1,714,699
"426",2,2,0,NA,NA,NA
"427",1,1,4,1,729,733
"428",1,1,4,1,742,761
"429",1,2,0,NA,NA,NA
"430",1,3,0,1,655,714
"431",1,1,4,NA,NA,NA
"432",1,2,0,NA,NA,NA
"433",1,1,2,NA,699,729
"434",1,2,0,1,NA,NA
"435",1,1,2,0,NA,NA
"436",1,1,2,NA,NA,NA
"437",1,1,4,NA,722,755
"438",2,3,1,NA,732,691
"439",1,3,0,NA,NA,NA
"440",1,3,0,NA,NA,NA
"441",1,2,0,1,716,760
"442",1,3,0,1,740,750
"443",1,3,0,NA,678,722
"444",1,1,3,NA,NA,NA
"445",1,3,0,1,NA,NA
"446",1,1,2,1,NA,NA
"447",1,2,0,NA,550,666
"448",1,3,0,1,NA,NA
"449",1,1,1,NA,NA,NA
"450",1,1,4,NA,707,747
"451",1,1,4,NA,NA,580
"452",1,2,0,1,758,736
"453",1,1,4,1,701,695
"454",1,1,1,NA,NA,NA
"455",1,2,0,NA,654,634
"456",1,3,0,1,NA,NA
"457",1,1,4,1,739,737
"458",1,3,0,1,694,720
"459",1,1,2,NA,NA,NA
"460",1,3,0,1,720,738
"461",2,2,0,NA,669,674
"462",1,3,0,1,704,714
"463",1,1,4,1,821,756
"464",1,1,4,1,713,781
"465",1,3,0,NA,NA,NA
"466",1,3,0,1,717,782
"467",1,2,0,NA,702,794
"468",1,3,0,NA,700,760
"469",1,2,0,NA,NA,NA
"470",1,1,1,NA,NA,NA
"471",1,1,4,NA,NA,NA
"472",2,3,0,NA,NA,NA
"473",1,3,1,1,714,743
"474",1,3,0,NA,714,671
"475",1,2,0,NA,729,836
"476",1,3,0,1,716,737
"477",1,3,0,0,NA,NA
"478",1,1,1,1,728,727
"479",1,3,0,NA,NA,NA
"480",1,2,0,NA,NA,NA
"481",1,3,0,1,NA,NA
"482",2,3,0,NA,NA,NA
"483",1,2,0,NA,NA,NA
"484",2,1,1,NA,NA,NA
"485",1,1,4,1,747,836
"486",1,2,0,NA,633,673
"487",1,3,1,NA,NA,NA
"488",1,2,0,1,689,671
"489",1,2,0,NA,NA,NA
"490",1,2,0,1,744,836
"491",1,1,2,NA,NA,NA
"492",1,2,0,1,NA,NA
"493",1,2,2,1,693,703
"494",1,2,0,NA,NA,NA
"495",1,3,0,1,737,776
"496",1,1,4,NA,NA,NA
"497",1,2,0,1,NA,NA
"498",1,2,1,1,NA,NA
"499",1,3,0,NA,NA,NA
"500",1,3,2,1,727,751
"501",1,2,0,1,692,778
"502",1,3,0,1,740,698
"503",1,2,0,1,NA,NA
"504",1,3,0,1,696,NA
"505",1,3,0,1,699,NA
"506",1,3,0,0,NA,NA
"507",1,1,4,1,738,NA
"508",1,2,1,1,NA,NA
"509",1,3,0,NA,NA,NA
"510",1,1,4,1,750,763
"511",1,1,2,1,NA,NA
"512",1,1,3,NA,NA,NA
"513",1,1,4,NA,723,749
"514",2,3,0,1,693,528
"515",1,1,4,1,707,715
"516",1,1,4,1,767,750
"517",1,2,0,NA,NA,NA
"518",1,2,2,1,740,741
"519",2,1,4,NA,687,682
"520",1,3,0,NA,696,760
"521",1,2,0,NA,693,743
"522",1,2,0,1,NA,NA
"523",1,3,0,1,744,761
"524",1,1,4,1,702,741
"525",1,3,3,1,720,702
"526",1,2,0,0,695,696
"527",1,1,1,NA,NA,NA
"528",1,2,0,1,712,740
"529",1,1,4,0,717,741
"530",1,3,0,NA,NA,NA
"531",1,1,4,1,821,796
"532",1,3,3,NA,707,720
"533",1,2,0,NA,NA,NA
"534",1,2,0,NA,NA,NA
"535",1,1,4,NA,660,606
"536",1,2,0,1,758,745
"537",1,1,4,0,665,620
"538",1,3,0,1,NA,NA
"539",1,1,2,0,NA,NA
"540",1,2,0,1,740,741
"541",1,2,0,NA,NA,NA
"542",1,1,2,1,NA,NA
"543",1,3,0,NA,NA,NA
"544",1,3,0,1,741,688
"545",1,2,0,1,NA,NA
"546",1,2,0,1,674,704
"547",1,1,1,1,NA,NA
"548",1,3,0,1,758,734
"549",1,1,1,1,739,836
"550",1,2,0,0,741,753
"551",1,1,2,NA,NA,NA
"552",1,1,1,1,NA,NA
"553",2,3,0,NA,NA,NA
"554",1,1,2,1,NA,NA
"555",1,3,2,1,821,778
"556",1,1,1,1,NA,NA
"557",1,2,0,NA,NA,NA
"558",2,3,0,NA,NA,NA
"559",2,1,1,NA,NA,NA
"560",1,3,0,1,744,784
"561",1,3,0,NA,NA,NA
"562",1,1,4,0,713,707
"563",1,2,0,1,NA,NA
"564",1,3,0,NA,NA,NA
"565",1,1,3,NA,NA,NA
"566",1,2,0,NA,684,794
"567",1,2,0,1,690,728
"568",1,3,3,1,704,719
"569",1,2,0,NA,NA,NA
"570",1,3,2,1,706,737
"571",1,1,4,NA,740,644
"572",2,3,0,NA,NA,NA
"573",2,2,0,1,741,722
"574",2,1,1,NA,NA,NA
"575",1,3,0,NA,NA,NA
"576",1,3,0,1,707,757
"577",2,3,0,NA,NA,NA
"578",1,3,0,1,700,716
"579",1,3,0,NA,487,528
"580",1,3,0,NA,NA,NA
"581",1,3,0,NA,NA,NA
"582",1,3,0,1,NA,NA
"583",1,2,0,1,741,722
"584",1,3,0,NA,730,763
"585",1,1,1,1,NA,NA
"586",1,2,0,1,704,699
"587",1,1,4,1,715,762
"588",1,2,0,NA,702,716
"589",1,1,4,NA,654,727
"590",1,1,1,NA,NA,NA
"591",1,1,1,NA,NA,NA
"592",1,1,1,1,NA,NA
"593",1,1,4,0,535,705
"594",1,3,0,0,691,717
"595",1,1,1,0,695,741
"596",1,2,0,0,675,721
"597",1,2,3,1,758,769
"598",1,1,2,NA,NA,NA
"599",1,2,0,NA,NA,NA
"600",1,1,4,1,686,742
"601",1,3,0,1,NA,NA
"602",1,1,4,1,758,778
"603",1,3,0,NA,741,782
"604",1,1,1,NA,NA,NA
"605",1,3,0,NA,672,666
"606",1,3,0,NA,NA,NA
"607",1,1,4,NA,758,747
"608",1,3,0,NA,713,785
"609",1,2,0,NA,NA,NA
"610",2,3,0,0,709,713
"611",1,1,4,1,740,785
"612",1,3,0,1,699,756
"613",1,3,0,NA,645,637
"614",1,2,3,1,705,724
"615",1,2,0,NA,NA,NA
"616",1,3,2,1,NA,NA
"617",1,3,0,1,696,673
"618",1,2,3,NA,741,784
"619",2,1,4,1,NA,NA
"620",1,1,4,1,769,761
"621",1,3,0,1,758,751
"622",1,1,4,NA,670,676
"623",1,1,4,NA,714,836
"624",1,1,4,1,758,721
"625",1,2,0,NA,NA,NA
"626",1,3,0,1,767,745
"627",1,3,0,NA,775,796
"628",1,3,3,NA,702,708
"629",1,3,2,1,726,742
"630",1,3,0,1,740,727
"631",1,2,0,NA,699,709
"632",1,2,0,1,739,782
"633",1,3,3,1,750,716
"634",1,1,4,NA,NA,NA
"635",1,1,1,0,NA,NA
"636",1,2,2,0,NA,NA
"637",1,2,0,1,738,742
"638",1,2,0,NA,NA,NA
"639",1,1,3,NA,NA,NA
"640",1,2,0,1,NA,NA
"641",1,1,1,NA,NA,NA
"642",1,3,0,NA,NA,NA
"643",2,3,0,NA,NA,NA
"644",1,3,0,NA,NA,NA
"645",1,1,2,1,NA,NA
"646",1,2,0,1,712,778
"647",1,1,4,1,714,744
"648",1,1,4,1,728,784
"649",1,2,0,NA,758,734
"650",1,1,4,NA,821,710
"651",1,2,0,1,NA,NA
"652",1,2,0,1,758,767
"653",1,1,4,NA,775,728
"654",1,1,3,NA,NA,NA
"655",1,1,4,1,741,784
"656",1,3,0,1,697,706
"657",1,1,4,NA,688,758
"658",1,3,0,1,744,740
"659",1,2,0,NA,645,744
"660",1,2,0,NA,603,669
"661",1,1,1,1,NA,NA
"662",1,2,0,NA,NA,NA
"663",1,2,0,0,NA,NA
"664",1,2,0,NA,691,632
"665",1,2,3,NA,638,528
"666",1,3,0,NA,NA,NA
"667",1,3,0,0,699,723
"668",1,3,0,NA,638,675
"669",1,2,0,1,724,667
"670",1,3,0,NA,NA,NA
"671",1,3,0,NA,711,738
"672",1,3,3,NA,744,629
"673",1,2,0,1,686,698
"674",1,3,3,1,752,716
"675",1,2,0,NA,678,716
"676",1,1,4,1,744,836
"677",2,3,3,1,725,691
"678",1,3,0,1,726,723
"679",1,3,0,1,NA,NA
"680",1,2,0,1,758,763
"681",1,3,0,NA,NA,NA
"682",1,1,3,1,NA,NA
"683",2,1,4,NA,666,674
"684",1,3,0,1,NA,NA
"685",1,3,0,NA,NA,NA
"686",1,2,0,1,773,741
"687",1,3,0,1,639,701
"688",1,3,0,1,712,704
"689",2,1,1,NA,726,722
"690",1,2,0,0,NA,NA
"691",1,2,0,1,710,736
"692",1,2,0,1,NA,NA
"693",1,2,2,NA,683,715
"694",1,1,3,1,696,757
"695",1,3,0,NA,NA,NA
"696",1,3,0,NA,NA,NA
"697",1,1,4,1,740,778
"698",1,2,0,1,NA,NA
"699",1,1,3,NA,NA,NA
"700",1,3,0,1,719,836
"701",1,3,0,1,NA,NA
"702",1,1,1,1,NA,NA
"703",2,1,1,NA,NA,NA
"704",1,2,0,NA,NA,NA
"705",1,1,4,0,771,688
"706",1,1,1,1,NA,NA
"707",1,1,4,0,664,742
"708",1,3,0,1,698,713
"709",1,3,0,1,679,836
"710",1,2,0,NA,NA,NA
"711",1,2,0,NA,NA,NA
"712",1,1,1,0,NA,NA
"713",1,2,0,1,694,763
"714",1,3,0,1,NA,NA
"715",1,1,4,1,681,704
"716",1,3,0,NA,NA,NA
"717",1,3,0,1,758,741
"718",2,3,0,NA,625,672
"719",2,1,4,NA,659,621
"720",1,1,4,1,744,794
"721",2,3,0,1,726,727
"722",1,2,0,NA,821,763
"723",1,3,0,1,745,700
"724",1,2,0,1,NA,NA
"725",1,2,0,NA,NA,NA
"726",2,2,0,1,730,736
"727",1,3,0,1,705,659
"728",1,3,1,1,NA,NA
"729",1,2,0,1,NA,NA
"730",1,2,0,NA,NA,NA
"731",2,2,0,NA,741,647
"732",1,3,0,1,NA,NA
"733",1,1,4,NA,758,742
"734",1,1,4,NA,692,759
"735",1,1,4,1,655,709
"736",1,2,0,1,767,760
"737",1,1,4,1,741,735
"738",1,1,4,1,701,740
"739",1,1,4,1,740,741
"740",1,1,4,1,735,761
"741",2,2,0,1,678,681
"742",1,1,2,NA,NA,NA
"743",1,2,0,1,758,760
"744",1,3,0,1,724,721
"745",1,2,0,1,684,622
"746",1,2,0,1,767,765
"747",1,3,0,0,598,736
"748",1,2,0,NA,704,692
"749",1,2,1,1,722,756
"750",1,3,0,1,697,735
"751",1,1,1,NA,NA,NA
"752",1,1,1,NA,NA,NA
"753",1,1,4,NA,541,743
"754",1,2,0,1,743,836
"755",1,2,1,1,758,778
"756",1,2,0,1,603,689
"757",1,2,0,NA,709,720
"758",1,3,0,1,744,756
"759",1,2,3,1,749,680
"760",1,2,0,NA,NA,NA
"761",2,2,0,1,NA,NA
"762",1,3,0,1,739,763
"763",1,1,4,1,758,836
"764",1,2,0,1,715,676
"765",1,3,0,1,729,761
"766",2,2,0,NA,NA,NA
"767",1,3,0,1,726,724
"768",1,3,0,NA,NA,NA
"769",1,1,4,NA,666,692
"770",1,3,0,1,717,717
"771",2,1,2,1,NA,NA
"772",1,1,3,1,699,719
"773",1,2,0,1,711,695
"774",1,3,0,1,708,836
"775",1,2,0,0,702,715
"776",1,2,3,1,821,765
"777",1,2,0,1,710,728
"778",1,3,2,1,657,702
"779",1,3,0,1,726,718
"780",1,1,4,1,728,836
"781",2,1,1,0,NA,NA
"782",2,3,0,NA,726,767
"783",2,3,0,1,NA,NA
"784",2,2,0,NA,NA,NA
"785",2,2,0,0,NA,NA
"786",2,2,0,NA,NA,NA
"787",2,3,0,NA,NA,NA
"788",2,2,0,NA,NA,NA
"789",2,3,0,0,647,689
"790",2,1,3,NA,NA,NA
"791",2,2,0,NA,NA,NA
"792",2,2,0,NA,NA,NA
"793",2,3,0,1,NA,NA
"794",2,3,0,1,NA,NA
"795",2,2,0,0,NA,NA
"796",2,3,0,0,NA,NA
"797",2,2,1,0,NA,NA
"798",2,3,1,NA,NA,NA
"799",2,3,0,1,NA,NA
"800",2,3,0,1,NA,NA
"801",2,3,0,NA,NA,NA
"802",1,3,0,1,NA,NA
"803",1,2,0,NA,712,771
"804",1,1,4,1,706,710
"805",1,3,0,1,758,836
"806",1,1,1,NA,NA,NA
"807",1,2,0,1,741,784
"808",1,2,0,NA,743,748
"809",1,2,0,1,662,714
"810",1,2,0,1,715,765
"811",1,2,0,NA,NA,NA
"812",1,1,4,NA,704,724
"813",1,1,2,0,NA,NA
"814",1,3,0,1,NA,NA
"815",1,3,0,1,717,682
"816",1,1,1,1,NA,NA
"817",1,2,0,1,697,604
"818",1,1,3,0,NA,NA
"819",1,2,0,1,658,688
"820",1,2,0,NA,NA,NA
"821",1,1,1,NA,NA,NA
"822",1,2,0,1,NA,NA
"823",1,3,0,1,NA,NA
"824",1,1,4,NA,723,732
"825",1,1,3,1,NA,NA
"826",1,3,0,NA,NA,NA
"827",1,3,0,NA,NA,NA
"828",1,2,0,1,NA,NA
"829",1,2,0,NA,724,734
"830",1,1,1,NA,NA,NA
"831",1,2,0,NA,705,717
"832",1,1,4,1,690,730
"833",1,3,3,1,707,721
